gene,value
MRGPRX1,0
MRGPRX2,16
MRGPRX3,79
MRGPRX4,7
MRI1,7241
MRLN,6
MRM1,1399
MRM2,36
MRM3,2800
MRNIP,9857
MRO,75
MROH1,16112
MROH2A,185
MROH2B,1
MROH6,6685
MROH7,137
MROH7-TTC4,2
MROH8,403
MROH9,28
MRPL1,3159
MRPL10,6655
MRPL11,6431
MRPL12,1565
MRPL13,8469
MRPL14,4736
MRPL15,8831
MRPL16,6226
MRPL17,5956
MRPL18,6705
MRPL19,6233
MRPL2,852
MRPL20,11573
MRPL21,4393
MRPL22,5186
MRPL23,6639
MRPL24,7919
MRPL27,6333
MRPL28,8880
MRPL3,13416
MRPL30,7305
MRPL32,6115
MRPL33,3422
MRPL34,4745
MRPL35,7219
MRPL36,2959
MRPL37,13598
MRPL38,736
MRPL39,4439
MRPL4,11591
MRPL40,4411
MRPL41,8054
MRPL42,8952
MRPL43,5855
MRPL44,5975
MRPL45,5532
MRPL46,902
MRPL47,5698
MRPL48,2901
MRPL49,11545
MRPL50,5308
MRPL51,14176
MRPL52,6923
MRPL53,0
MRPL54,6083
MRPL55,5859
MRPL57,6609
MRPL58,4396
MRPL9,7277
MRPS10,10820
MRPS11,5849
MRPS12,7689
MRPS14,4553
MRPS15,8025
MRPS16,13280
MRPS17,1004
MRPS18A,5778
MRPS18B,11165
MRPS18C,3839
MRPS2,7378
MRPS21,11729
MRPS22,6407
MRPS23,5390
MRPS24,71
MRPS25,9953
MRPS26,9712
MRPS27,12814
MRPS28,907
MRPS30,5511
MRPS31,3085
MRPS33,5249
MRPS34,11266
MRPS35,7009
MRPS36,4162
MRPS5,8943
MRPS6,4653
MRPS7,10712
MRPS9,4620
MRRF,7520
MRS2,4895
MRTFA,10231
MRTFB,11156
MRTO4,10197
MS4A1,39610
MS4A10,0
MS4A12,1
MS4A13,0
MS4A14,436
MS4A15,46
MS4A18,8
MS4A2,612
MS4A3,7
MS4A4A,1948
MS4A4E,177
MS4A5,0
MS4A6A,7262
MS4A6E,5
MS4A7,4131
MS4A8,42
MSANTD1,87
MSANTD2,2215
MSANTD3,2803
MSANTD3-TMEFF1,0
MSANTD4,2530
MSANTD5,0
MSC,3529
MSGN1,28
MSH2,4861
MSH3,3998
MSH4,37
MSH5,598
MSH5-SAPCD1,130
MSH6,8941
MSI1,69
MSI2,13825
MSL1,19476
MSL2,8215
MSL3,10816
MSLN,1187
MSLNL,79
MSMB,271
MSMO1,9515
MSMP,29
MSN,85752
MSR1,2613
MSRA,2401
MSRB1,6562
MSRB2,2224
MSRB3,1645
MSS51,468
MST1,3328
MST1R,10482
MSTN,30
MSTO1,3074
MSX1,388
MSX2,80
MT-ATP6,851147
MT-ATP8,93819
MT-CO1,3892928
MT-CO2,1307776
MT-CO3,1579348
MT-CYB,984713
MT-ND1,856451
MT-ND2,832642
MT-ND3,237806
MT-ND4,1785510
MT-ND4L,231099
MT-ND5,1105425
MT-ND6,26716
MT1A,62
MT1B,0
MT1E,1314
MT1F,624
MT1G,414
MT1H,190
MT1HL1,0
MT1M,252
MT1X,2786
MT2A,13187
MT3,225
MT4,1
MTA1,14132
MTA2,34105
MTA3,4522
MTAP,7300
MTARC1,948
MTARC2,1604
MTBP,2536
MTCH1,26932
MTCH2,13008
MTCL1,5069
MTCP1,189
MTDH,32091
MTERF1,2097
MTERF2,1748
MTERF3,4384
MTERF4,7018
MTF1,8400
MTF2,3966
MTFMT,1704
MTFP1,297
MTFR1,5873
MTFR1L,6994
MTFR2,462
MTG1,3736
MTG2,6753
MTHFD1,16236
MTHFD1L,2855
MTHFD2,11184
MTHFD2L,1148
MTHFR,14594
MTHFS,309
MTHFSD,4379
MTIF2,5906
MTIF3,5305
MTLN,3949
MTM1,2933
MTMR1,15870
MTMR10,8798
MTMR11,988
MTMR12,8100
MTMR14,9003
MTMR2,4533
MTMR3,19005
MTMR4,11036
MTMR6,5267
MTMR7,54
MTMR8,425
MTMR9,5212
MTNR1A,0
MTNR1B,1
MTO1,4425
MTOR,17920
MTPAP,3927
MTPN,32867
MTR,9810
MTRES1,1835
MTREX,13111
MTRF1,1992
MTRF1L,1658
MTRFR,3307
MTRNR2L1,332
MTRNR2L10,1258
MTRNR2L11,0
MTRNR2L12,29492
MTRNR2L13,0
MTRNR2L3,2
MTRNR2L4,14
MTRNR2L5,0
MTRNR2L6,848
MTRNR2L7,0
MTRNR2L8,15492
MTRR,4848
MTSS1,22811
MTSS2,17580
MTTP,129
MTURN,2270
MTUS1,25086
MTUS2,134
MTX1,3373
MTX2,5494
MTX3,8335
MUC1,18324
MUC12,94
MUC13,32
MUC15,5606
MUC16,1263
MUC17,2
MUC2,37
MUC20,2185
MUC21,50037
MUC22,926
MUC3A,997
MUC4,14625
MUC5AC,19
MUC5B,33
MUC6,4
MUC7,2
MUCL1,148
MUCL3,18
MUL1,6036
MUS81,8712
MUSK,154
MUSTN1,10
MUTYH,232
MVB12A,6339
MVB12B,5088
MVD,8353
MVK,5259
MVP,38000
MX1,55851
MX2,15550
MXD1,20610
MXD3,3791
MXD4,17450
MXI1,5749
MXRA5,8889
MXRA7,5617
MXRA8,4026
MYADM,12416
MYADML2,9
MYB,1730
MYBBP1A,14950
MYBL1,1945
MYBL2,12764
MYBPC1,10553
MYBPC2,309
MYBPC3,250
MYBPH,22
MYBPHL,17
MYC,21464
MYCBP,3312
MYCBP2,35920
MYCBPAP,146
MYCL,7036
MYCN,573
MYCT1,1326
MYD88,19428
MYDGF,11287
MYEF2,1762
MYEOV,1792
MYF5,0
MYF6,18
MYG1,28
MYH1,33
MYH10,3595
MYH11,4374
MYH13,15
MYH14,35255
MYH15,64
MYH2,1496
MYH3,629
MYH4,9
MYH6,134
MYH7,2850
MYH7B,325
MYH8,17
MYH9,174267
MYL1,199
MYL10,0
MYL12A,54316
MYL12B,52591
MYL2,547
MYL3,313
MYL4,67
MYL5,3586
MYL6,76074
MYL6B,6419
MYL7,8
MYL9,7749
MYLIP,11832
MYLK,5944
MYLK2,115
MYLK3,145
MYLK4,584
MYLPF,101
MYMK,40
MYMX,21
MYNN,5077
MYO10,9489
MYO15A,149
MYO15B,13903
MYO16,99
MYO18A,22546
MYO18B,26
MYO19,17283
MYO1A,154
MYO1B,9833
MYO1C,29202
MYO1D,15311
MYO1E,15714
MYO1F,18341
MYO1G,16832
MYO1H,96
MYO3A,901
MYO3B,311
MYO5A,8669
MYO5B,14888
MYO5C,4409
MYO6,12951
MYO7A,6021
MYO7B,1196
MYO9A,6874
MYO9B,36302
MYOC,677
MYOCD,59
MYOCOS,13
MYOD1,7
MYOF,23219
MYOG,6
MYOM1,472
MYOM2,539
MYOM3,257
MYORG,2651
MYOT,183
MYOZ1,272
MYOZ2,71
MYOZ3,119
MYPN,39
MYPOP,4673
MYRF,468
MYRFL,25
MYRIP,550
MYSM1,10519
MYT1,14
MYT1L,2
MYZAP,721
MZB1,23300
MZF1,9348
MZT1,2255
MZT2A,7409
MZT2B,16946
N4BP1,18569
N4BP2,3554
N4BP2L1,3809
N4BP2L2,16784
N4BP3,6774
N6AMT1,1977
NAA10,3274
NAA11,0
NAA15,10734
NAA16,2971
NAA20,18450
NAA25,7631
NAA30,4749
NAA35,7198
NAA38,6055
NAA40,6894
NAA50,25540
NAA60,9173
NAA80,1937
NAAA,7605
NAALAD2,129
NAALADL1,1113
NAALADL2,707
NAB1,11111
NAB2,8451
NABP1,17007
NABP2,7303
NACA,59507
NACA2,621
NACAD,205
NACC1,16531
NACC2,6183
NADK,16029
NADK2,9825
NADSYN1,19303
NAE1,6095
NAF1,2630
NAGA,8608
NAGK,29386
NAGLU,4885
NAGPA,3816
NAGS,591
NAIF1,2136
NAIP,603
NALCN,25
NALF1,121
NALF2,441
NAMPT,35710
NANOG,11
NANOGNB,0
NANOGP8,2
NANOS1,352
NANOS2,0
NANOS3,65
NANP,2601
NANS,10053
NAP1L1,53269
NAP1L2,558
NAP1L3,291
NAP1L4,34374
NAP1L5,541
NAPA,19545
NAPB,3572
NAPEPLD,1872
NAPG,6477
NAPRT,19655
NAPSA,386
NARF,14315
NARS1,27786
NARS2,2522
NASP,24773
NAT1,1349
NAT10,12749
NAT14,1847
NAT16,2
NAT2,137
NAT8,4
NAT8L,167
NAT9,4941
NATD1,3716
NAV1,7249
NAV2,7667
NAV3,352
NAXD,8939
NAXE,10727
NBAS,6443
NBDY,2457
NBEA,1401
NBEAL1,3682
NBEAL2,59417
NBL1,19207
NBN,15846
NBPF1,2657
NBPF10,1652
NBPF11,3717
NBPF12,4883
NBPF14,3054
NBPF15,4452
NBPF19,50
NBPF20,5947
NBPF26,1876
NBPF3,1776
NBPF4,10
NBPF6,6
NBPF9,3401
NBR1,25655
NCALD,4274
NCAM1,495
NCAM2,324
NCAN,16
NCAPD2,18756
NCAPD3,12044
NCAPG,4349
NCAPG2,7302
NCAPH,3330
NCAPH2,11364
NCBP1,8797
NCBP2,12939
NCBP2AS2,2513
NCBP2L,0
NCBP3,12906
NCCRP1,36566
NCDN,5441
NCEH1,4554
NCF1,10366
NCF2,7746
NCF4,7561
NCK1,8419
NCK2,15851
NCKAP1,26057
NCKAP1L,21204
NCKAP5,1526
NCKAP5L,5142
NCKIPSD,6247
NCL,88872
NCLN,16251
NCMAP,191
NCOA1,11538
NCOA2,16220
NCOA3,18332
NCOA4,47849
NCOA5,10967
NCOA6,18012
NCOA7,15518
NCOR1,26380
NCOR2,40462
NCR1,201
NCR2,21
NCR3,1040
NCR3LG1,733
NCS1,6277
NCSTN,15942
NDC1,6459
NDC80,3547
NDE1,9587
NDEL1,11875
NDFIP1,19664
NDFIP2,9125
NDN,1614
NDNF,263
NDOR1,4709
NDP,104
NDRG1,281940
NDRG2,22465
NDRG3,9648
NDRG4,3254
NDST1,33502
NDST2,221
NDST3,9
NDST4,9
NDUFA1,12210
NDUFA10,14293
NDUFA11,2920
NDUFA12,7450
NDUFA13,375
NDUFA2,9281
NDUFA3,8357
NDUFA4,17978
NDUFA4L2,22476
NDUFA5,8029
NDUFA6,9343
NDUFA7,140
NDUFA8,6732
NDUFA9,1537
NDUFAB1,9078
NDUFAF1,3658
NDUFAF2,2383
NDUFAF3,6828
NDUFAF4,1707
NDUFAF5,2826
NDUFAF6,3218
NDUFAF7,2234
NDUFAF8,2573
NDUFB1,7030
NDUFB10,12053
NDUFB11,14033
NDUFB2,9578
NDUFB3,7646
NDUFB4,15213
NDUFB5,3606
NDUFB6,6754
NDUFB7,13980
NDUFB8,1014
NDUFB9,26677
NDUFC1,7690
NDUFC2,1705
NDUFC2-KCTD14,0
NDUFS1,17674
NDUFS2,15824
NDUFS3,10491
NDUFS4,8533
NDUFS5,18006
NDUFS6,10153
NDUFS7,12445
NDUFS8,10748
NDUFV1,29665
NDUFV2,238
NDUFV3,6648
NEB,1845
NEBL,11072
NECAB1,0
NECAB2,2
NECAB3,3129
NECAP1,5533
NECAP2,17792
NECTIN1,60794
NECTIN2,18982
NECTIN3,906
NECTIN4,15127
NEDD1,6405
NEDD4,3101
NEDD4L,13990
NEDD8,3718
NEDD8-MDP1,0
NEDD9,6818
NEFH,404
NEFL,3822
NEFM,2692
NEGR1,258
NEIL1,2011
NEIL2,4189
NEIL3,963
NEK1,2489
NEK10,144
NEK11,808
NEK2,1506
NEK3,1185
NEK4,4293
NEK5,27
NEK6,6310
NEK7,8399
NEK8,2343
NEK9,18560
NELFA,8261
NELFB,15830
NELFCD,15275
NELFE,12682
NELL1,46
NELL2,7612
NEMF,9728
NEMP1,8157
NEMP2,1600
NENF,5635
NEO1,15208
NEPRO,7325
NES,3596
NET1,22580
NETO1,68
NETO2,4656
NEU1,8915
NEU2,1
NEU3,3272
NEU4,118
NEURL1,222
NEURL1B,11945
NEURL2,239
NEURL3,247
NEURL4,6044
NEUROD1,0
NEUROD2,3
NEUROD4,1
NEUROD6,0
NEUROG1,1
NEUROG2,20
NEUROG3,0
NEXMIF,879
NEXN,741
NF1,11675
NF2,7549
NFAM1,7628
NFASC,2914
NFAT5,12808
NFATC1,5002
NFATC2,10482
NFATC2IP,16107
NFATC3,6849
NFATC4,2710
NFE2,29
NFE2L1,55974
NFE2L2,36188
NFE2L3,12070
NFIA,8975
NFIB,6604
NFIC,24409
NFIL3,4600
NFILZ,20
NFIX,19215
NFKB1,20300
NFKB2,29783
NFKBIA,49509
NFKBIB,10354
NFKBID,4608
NFKBIE,6691
NFKBIL1,4041
NFKBIZ,15927
NFRKB,7203
NFS1,5656
NFU1,3430
NFX1,12793
NFXL1,2411
NFYA,8063
NFYB,5071
NFYC,10232
NGB,2
NGDN,5332
NGEF,766
NGF,88
NGFR,3602
NGLY1,7987
NGRN,3558
NHEJ1,829
NHLH1,36
NHLH2,117
NHLRC1,557
NHLRC2,7428
NHLRC3,4374
NHLRC4,162
NHP2,14427
NHS,1780
NHSL1,2420
NHSL2,1778
NIBAN1,18049
NIBAN2,162223
NIBAN3,3252
NICN1,0
NID1,5206
NID2,1417
NIF3L1,4246
NIFK,7996
NIM1K,237
NIN,15109
NINJ1,16667
NINJ2,1247
NINL,6934
NIP7,6959
NIPA1,5663
NIPA2,10307
NIPAL1,5227
NIPAL2,13831
NIPAL3,9358
NIPAL4,4765
NIPBL,21113
NIPSNAP1,6301
NIPSNAP2,7672
NIPSNAP3A,3661
NIPSNAP3B,974
NISCH,22731
NIT1,4294
NIT2,9057
NKAIN1,108
NKAIN2,42
NKAIN3,97
NKAIN4,10
NKAP,3540
NKAPD1,4382
NKAPL,48
NKD1,1037
NKD2,1602
NKG7,11446
NKIRAS1,1333
NKIRAS2,10265
NKPD1,328
NKRF,3123
NKTR,25866
NKX1-1,1
NKX1-2,174
NKX2-1,0
NKX2-2,0
NKX2-3,510
NKX2-4,277
NKX2-5,30
NKX2-6,9
NKX2-8,141
NKX3-1,1169
NKX3-2,78
NKX6-1,3
NKX6-2,0
NKX6-3,115
NLE1,3283
NLGN1,203
NLGN2,5267
NLGN3,360
NLGN4X,310
NLGN4Y,1619
NLK,3378
NLN,7481
NLRC3,9652
NLRC4,355
NLRC5,36333
NLRP1,19360
NLRP10,4
NLRP11,1
NLRP12,38
NLRP13,3
NLRP14,34
NLRP2,5673
NLRP2B,8
NLRP3,869
NLRP4,18
NLRP5,0
NLRP6,246
NLRP7,117
NLRP8,0
NLRP9,0
NLRX1,8897
NMB,757
NMBR,2
NMD3,7076
NME1,2700
NME1-NME2,0
NME2,744
NME3,5238
NME4,5124
NME5,57
NME6,4889
NME7,1259
NME8,175
NME9,36
NMI,7429
NMNAT1,1797
NMNAT2,354
NMNAT3,751
NMRAL1,9091
NMRK1,6288
NMRK2,7
NMS,6
NMT1,24938
NMT2,3915
NMU,2793
NMUR1,83
NMUR2,4
NNAT,18
NNMT,5981
NNT,10008
NOA1,5180
NOB1,8893
NOBOX,134
NOC2L,22203
NOC3L,4220
NOC4L,4767
NOCT,1101
NOD1,4267
NOD2,3187
NODAL,51
NOG,117
NOL10,4283
NOL11,9532
NOL12,768
NOL3,5292
NOL4,51
NOL4L,5077
NOL6,13589
NOL7,9614
NOL8,10080
NOL9,5931
NOLC1,18106
NOM1,5848
NOMO1,10577
NOMO2,7898
NOMO3,1767
NONO,60111
NOP10,9642
NOP14,12590
NOP16,5284
NOP2,164
NOP53,87444
NOP56,27157
NOP58,14377
NOP9,12777
NOPCHAP1,3304
NOS1,378
NOS1AP,235
NOS2,25544
NOS3,1585
NOSIP,14368
NOSTRIN,968
NOTCH1,54862
NOTCH2,34737
NOTCH2NLA,39
NOTCH2NLB,1
NOTCH2NLC,481
NOTCH2NLR,12
NOTCH3,44925
NOTCH4,2804
NOTO,2
NOTUM,84
NOVA1,668
NOVA2,711
NOX1,13
NOX3,0
NOX4,233
NOX5,137
NOXA1,2453
NOXO1,1246
NOXRED1,140
NPAP1,2
NPAS1,254
NPAS2,6294
NPAS3,117
NPAS4,7
NPAT,4709
NPB,874
NPBWR1,15
NPBWR2,10
NPC1,15216
NPC1L1,48
NPC2,23090
NPDC1,4948
NPEPL1,2190
NPEPPS,30481
NPFF,144
NPFFR1,822
NPFFR2,13
NPHP1,698
NPHP3,1350
NPHP3-ACAD11,1
NPHP4,2526
NPHS1,483
NPHS2,2
NPIPA1,1468
NPIPA2,42
NPIPA3,62
NPIPA5,137
NPIPA7,21
NPIPA8,0
NPIPA9,55
NPIPB11,556
NPIPB12,629
NPIPB13,424
NPIPB15,1811
NPIPB2,90
NPIPB3,871
NPIPB4,1772
NPIPB5,2913
NPIPB6,118
NPIPB7,11
NPIPB8,16
NPIPB9,32
NPL,9009
NPLOC4,30411
NPM1,102343
NPM2,834
NPM3,2547
NPNT,14655
NPPA,0
NPPB,3
NPPC,6989
NPR1,992
NPR2,1228
NPR3,1283
NPRL2,4818
NPRL3,4956
NPS,0
NPSR1,0
NPTN,18950
NPTX1,98
NPTX2,80
NPTXR,1078
NPVF,0
NPW,371
NPY,0
NPY1R,29
NPY2R,0
NPY4R,11
NPY4R2,2
NPY5R,0
NQO1,3598
NQO2,3344
NR0B1,6
NR0B2,0
NR1D1,8260
NR1D2,9536
NR1H2,18584
NR1H3,9112
NR1H4,25
NR1I2,31
NR1I3,1
NR2C1,4170
NR2C2,12115
NR2C2AP,3746
NR2E1,755
NR2E3,11
NR2F1,5262
NR2F2,6092
NR2F6,6320
NR3C1,13953
NR3C2,2054
NR4A1,16651
NR4A2,6150
NR4A3,1720
NR5A1,23
NR5A2,486
NR6A1,1022
NRAP,501
NRARP,12813
NRAS,14383
NRBF2,3990
NRBP1,23655
NRBP2,10204
NRCAM,5245
NRDC,31192
NRDE2,5061
NREP,7184
NRF1,3936
NRG1,2381
NRG2,470
NRG3,29
NRG4,92
NRGN,465
NRIP1,8225
NRIP2,229
NRIP3,2817
NRK,29
NRL,485
NRM,2476
NRN1,1678
NRN1L,4
NRP1,8865
NRP2,10507
NRROS,2425
NRSN1,1
NRSN2,4161
NRTN,177
NRXN1,160
NRXN2,741
NRXN3,653
NSA2,14662
NSD1,25043
NSD2,19216
NSD3,25575
NSDHL,6151
NSF,8039
NSFL1C,23557
NSG1,1485
NSG2,10
NSL1,3762
NSMAF,12549
NSMCE1,5782
NSMCE2,4918
NSMCE3,3882
NSMCE4A,8511
NSMF,6383
NSRP1,5792
NSUN2,18626
NSUN3,2997
NSUN4,4879
NSUN5,5873
NSUN6,2119
NSUN7,1098
NT5C,6747
NT5C1A,96
NT5C1B,0
NT5C1B-RDH14,0
NT5C2,24855
NT5C3A,5998
NT5C3B,4042
NT5DC1,7240
NT5DC2,8861
NT5DC3,2175
NT5DC4,261
NT5E,3055
NT5M,552
NTAN1,4974
NTAQ1,2591
NTF3,176
NTF4,555
NTHL1,2061
NTM,438
NTMT1,4703
NTMT2,0
NTN1,24054
NTN3,227
NTN4,6503
NTN5,190
NTNG1,89
NTNG2,493
NTPCR,5007
NTRK1,221
NTRK2,15337
NTRK3,791
NTS,26888
NTSR1,10
NTSR2,0
NUAK1,3681
NUAK2,8044
NUB1,22386
NUBP1,6218
NUBP2,11101
NUBPL,2149
NUCB1,47666
NUCB2,16682
NUCKS1,42773
NUDC,17146
NUDCD1,4829
NUDCD2,4254
NUDCD3,14565
NUDT1,4034
NUDT10,176
NUDT11,590
NUDT12,2706
NUDT13,449
NUDT14,3159
NUDT15,3680
NUDT16,6390
NUDT16L1,4908
NUDT17,610
NUDT18,2337
NUDT19,3773
NUDT2,2461
NUDT21,4826
NUDT22,6811
NUDT3,12999
NUDT4,10064
NUDT4B,41
NUDT5,10354
NUDT6,728
NUDT7,824
NUDT8,2242
NUDT9,4237
NUF2,2088
NUFIP1,1067
NUFIP2,22888
NUGGC,1023
NUMA1,70465
NUMB,12283
NUMBL,4374
NUP107,10257
NUP133,10087
NUP153,16754
NUP155,9442
NUP160,12472
NUP188,20083
NUP205,18734
NUP210,28542
NUP210L,28
NUP214,17301
NUP35,2549
NUP37,3418
NUP42,3891
NUP43,6216
NUP50,16938
NUP54,6682
NUP58,8189
NUP62,20611
NUP62CL,319
NUP85,10196
NUP88,9075
NUP93,10642
NUP98,19897
NUPR1,4895
NUPR2,281
NUS1,6931
NUSAP1,62
NUTF2,8549
NUTM1,1
NUTM2A,86
NUTM2B,116
NUTM2D,408
NUTM2E,95
NUTM2F,29
NUTM2G,10
NVL,4575
NWD1,219
NWD2,35
NXF1,23922
NXF2,0
NXF2B,0
NXF3,481
NXN,16689
NXNL1,1
NXNL2,24
NXPE1,5
NXPE2,5
NXPE3,5361
NXPE4,123
NXPH1,0
NXPH2,16
NXPH3,564
NXPH4,777
NXT1,5550
NXT2,2071
NYAP1,187
NYAP2,43
NYNRIN,9249
NYX,0
OAF,4063
OARD1,5177
OAS1,18456
OAS2,26301
OAS3,21876
OASL,5050
OAT,22448
OAZ1,64773
OAZ2,14141
OAZ3,246
OBI1,2937
OBP2A,0
OBP2B,0
OBSCN,8035
OBSL1,2959
OC90,0
OCA2,231
OCEL1,2464
OCIAD1,15455
OCIAD2,6439
OCLN,3127
OCM,64
OCM2,4
OCRL,6782
OCSTAMP,18
ODAD1,394
ODAD2,73
ODAD3,38
ODAD4,145
ODAM,377
ODAPH,21
ODC1,14461
ODF1,0
ODF2,9251
ODF2L,5171
ODF3,5
ODF3B,9870
ODF3L1,53
ODF3L2,1
ODF4,11
ODR4,4674
OFD1,10539
OGA,33185
OGDH,27079
OGDHL,431
OGFOD1,8549
OGFOD2,311
OGFOD3,5993
OGFR,14864
OGFRL1,19545
OGG1,3643
OGN,1041
OGT,62105
OIP5,713
OIT3,17
OLA1,11803
OLAH,6
OLFM1,13799
OLFM2,2090
OLFM3,0
OLFM4,29
OLFML1,1704
OLFML2A,4067
OLFML2B,3344
OLFML3,3377
OLIG1,1
OLIG2,50
OLIG3,0
OLR1,845
OMA1,2315
OMD,672
OMG,54
OMP,3
ONECUT1,39
ONECUT2,705
ONECUT3,8
OOEP,136
OOSP1,4
OOSP2,0
OOSP3,0
OOSP4A,0
OOSP4B,0
OPA1,14232
OPA3,11344
OPALIN,0
OPCML,91
OPHN1,1524
OPLAH,7264
OPN1LW,0
OPN1MW,0
OPN1MW2,0
OPN1MW3,0
OPN1SW,0
OPN3,1415
OPN4,1
OPN5,5
OPRD1,1
OPRK1,107
OPRL1,336
OPRM1,0
OPRPN,0
OPTC,1
OPTN,23772
OR10A2,0
OR10A3,0
OR10A4,1
OR10A5,0
OR10A6,1
OR10A7,0
OR10AD1,0
OR10AG1,0
OR10C1,1
OR10D3,1
OR10G2,0
OR10G3,0
OR10G4,0
OR10G6,0
OR10G7,1
OR10G8,0
OR10G9,0
OR10H1,3
OR10H2,0
OR10H3,0
OR10H4,0
OR10H5,1
OR10J1,0
OR10J5,0
OR10K1,2
OR10K2,0
OR10P1,5
OR10Q1,0
OR10R2,0
OR10S1,0
OR10T2,0
OR10V1,0
OR10W1,0
OR10X1,0
OR10Z1,0
OR11A1,0
OR11G2,0
OR11H1,0
OR11H12,1
OR11H2,0
OR11H4,0
OR11H6,0
OR11L1,0
OR12D2,0
OR12D3,0
OR13A1,101
OR13C2,0
OR13C3,0
OR13C4,0
OR13C5,0
OR13C8,0
OR13C9,0
OR13D1,0
OR13F1,0
OR13G1,0
OR13H1,0
OR13J1,0
OR14A16,0
OR14A2,0
OR14C36,0
OR14I1,0
OR14J1,0
OR14K1,1
OR14L1P,4
OR1A1,2
OR1A2,5
OR1B1,0
OR1C1,0
OR1D2,0
OR1D5,0
OR1E1,0
OR1E2,1
OR1F1,0
OR1G1,0
OR1I1,1
OR1J1,0
OR1J2,4
OR1J4,8
OR1K1,0
OR1L1,0
OR1L3,0
OR1L4,0
OR1L6,0
OR1L8,10
OR1M1,2
OR1N1,0
OR1N2,0
OR1Q1,9
OR1R1P,0
OR1S1,0
OR1S2,0
OR2A1,6
OR2A12,0
OR2A14,0
OR2A2,0
OR2A25,4
OR2A4,0
OR2A42,2
OR2A5,0
OR2A7,88
OR2AE1,1
OR2AG1,3
OR2AG2,3
OR2AJ1,0
OR2AK2,0
OR2AP1,0
OR2AT4,2
OR2B11,0
OR2B2,0
OR2B3,0
OR2B6,26
OR2C1,15
OR2C3,57
OR2D2,0
OR2D3,0
OR2F1,0
OR2F2,0
OR2G2,0
OR2G3,0
OR2G6,0
OR2H1,0
OR2H2,0
OR2I1P,132
OR2J1,1
OR2J2,0
OR2J3,0
OR2K2,2
OR2L13,12
OR2L2,9
OR2L3,4
OR2L5,10
OR2L8,2
OR2M2,0
OR2M3,0
OR2M4,5
OR2M5,0
OR2M7,0
OR2S2,0
OR2T1,0
OR2T10,4
OR2T11,0
OR2T12,2
OR2T2,4
OR2T27,0
OR2T29,0
OR2T3,0
OR2T33,0
OR2T34,0
OR2T35,0
OR2T4,0
OR2T5,0
OR2T6,0
OR2T8,14
OR2V1,1
OR2V2,42
OR2W1,0
OR2W3,43
OR2Y1,0
OR2Z1,7
OR3A1,9
OR3A2,9
OR3A3,5
OR4A15,0
OR4A16,0
OR4A47,0
OR4A5,0
OR4B1,0
OR4C11,0
OR4C12,0
OR4C13,0
OR4C15,0
OR4C16,0
OR4C3,0
OR4C46,0
OR4C5,0
OR4C6,21
OR4D1,36
OR4D10,0
OR4D11,0
OR4D2,0
OR4D5,0
OR4D6,5
OR4D9,0
OR4E1,0
OR4E2,1
OR4F15,0
OR4F16,1
OR4F17,0
OR4F21,0
OR4F29,1
OR4F3,0
OR4F4,0
OR4F5,28
OR4F6,4
OR4K1,0
OR4K13,3
OR4K14,0
OR4K15,0
OR4K17,1
OR4K2,0
OR4K5,0
OR4L1,0
OR4M1,1
OR4M2,0
OR4M2B,0
OR4N2,0
OR4N4,0
OR4N4C,0
OR4N5,0
OR4P4,0
OR4Q3,0
OR4S1,0
OR4S2,0
OR4X1,0
OR4X2,0
OR51A2,0
OR51A4,0
OR51A7,0
OR51B2,0
OR51B4,1
OR51B5,3
OR51B6,0
OR51C1P,0
OR51D1,0
OR51E1,44
OR51E2,19
OR51F1,0
OR51F2,0
OR51G1,0
OR51G2,0
OR51I1,0
OR51I2,0
OR51L1,0
OR51M1,0
OR51Q1,0
OR51S1,0
OR51T1,0
OR51V1,0
OR52A1,0
OR52A5,0
OR52B2,0
OR52B4,0
OR52B6,0
OR52D1,0
OR52E2,0
OR52E4,0
OR52E5,0
OR52E6,0
OR52E8,0
OR52H1,1
OR52I1,0
OR52I2,0
OR52J3,0
OR52K1,1
OR52K2,1
OR52L1,0
OR52M1,0
OR52N1,4
OR52N2,17
OR52N4,148
OR52N5,0
OR52R1,0
OR52W1,0
OR56A1,0
OR56A3,1
OR56A4,23
OR56A5,0
OR56B1,13
OR56B2P,16
OR56B4,0
OR5A1,3
OR5A2,18
OR5AC2,0
OR5AK2,1
OR5AN1,4
OR5AP2,0
OR5AR1,0
OR5AS1,0
OR5AU1,18
OR5B12,10
OR5B17,0
OR5B2,0
OR5B21,13
OR5B3,0
OR5BS1P,0
OR5C1,0
OR5D13,0
OR5D14,0
OR5D16,0
OR5D18,0
OR5D3P,0
OR5F1,0
OR5H1,0
OR5H14,0
OR5H15,0
OR5H2,0
OR5H6,0
OR5I1,0
OR5J2,0
OR5K1,0
OR5K2,0
OR5K3,0
OR5K4,0
OR5L1,0
OR5L2,0
OR5M1,0
OR5M10,0
OR5M11,0
OR5M3,0
OR5M8,0
OR5M9,0
OR5P2,0
OR5P3,0
OR5T1,0
OR5T2,0
OR5T3,0
OR5V1,0
OR5W2,0
OR6A2,0
OR6B1,1
OR6B2,3
OR6B3,2
OR6C1,0
OR6C2,0
OR6C3,0
OR6C4,1
OR6C6,0
OR6C65,0
OR6C68,0
OR6C70,0
OR6C74,6
OR6C75,0
OR6C76,0
OR6F1,0
OR6J1,2
OR6K2,0
OR6K3,0
OR6K6,0
OR6M1,0
